,id,neighbourhood,property_type,room_type,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,category,TV,Internet,Air_conditioning,Kitchen,Heating,Wifi,Elevator,Breakfast
10401,14677233,Queens,Private room in rental unit,Private room,40.71332,-73.83076,3,1.0,1.0,2.0,67,0,1,0,1,1,1,1,1,1
10402,14680999,Queens,Entire rental unit,Entire home/apt,40.73253,-73.84881,11,1.0,3.0,6.0,254,2,1,0,1,1,1,1,0,0
10403,14684699,Brooklyn,Entire condominium (condo),Entire home/apt,40.70899,-73.95236,2,1.0,1.0,1.0,186,2,1,0,1,1,1,1,1,0
10404,14685187,Brooklyn,Private room in rental unit,Private room,40.68428,-73.96413,2,1.0,1.0,1.0,80,0,1,0,0,1,1,1,0,0
10405,14685276,Brooklyn,Entire loft,Entire home/apt,40.69244,-73.96013,5,1.0,1.0,2.0,132,1,1,0,1,1,1,1,1,0
10406,14686954,Queens,Private room in rental unit,Private room,40.74006,-73.88765,3,1.0,1.0,1.0,72,0,0,0,0,1,1,1,0,0
10407,14690331,Manhattan,Entire rental unit,Entire home/apt,40.73506,-74.00788,2,1.0,1.0,1.0,250,2,0,0,1,1,1,1,0,0
10408,14690845,Queens,Entire rental unit,Entire home/apt,40.73369,-73.84716,5,1.0,1.0,4.0,108,1,1,0,1,1,1,1,0,0
10410,14692459,Manhattan,Entire rental unit,Entire home/apt,40.78183,-73.9461,5,1.0,2.0,2.0,99,1,1,0,1,1,1,1,0,0
10411,14694447,Queens,Private room in residential home,Private room,40.73142,-73.88009,1,1.0,1.0,1.0,35,0,1,0,0,1,1,1,0,0
10412,14694588,Queens,Private room in rental unit,Private room,40.75515,-73.83221,4,1.0,1.0,4.0,63,0,1,0,1,0,1,1,1,0
10413,14696542,Brooklyn,Private room in rental unit,Private room,40.69837,-73.94361,1,1.0,1.0,1.0,55,0,0,0,1,1,1,1,0,0
10414,14698446,Queens,Private room in townhouse,Private room,40.74457,-73.83371,2,1.0,1.0,1.0,55,0,0,0,1,1,1,1,0,0
10415,14699186,Brooklyn,Entire rental unit,Entire home/apt,40.64512,-73.97148,2,1.0,1.0,1.0,100,1,1,0,1,1,1,1,0,0
10416,14706784,Brooklyn,Shared room in rental unit,Shared room,40.66933,-73.97863,2,1.0,1.0,1.0,40,0,0,0,1,1,1,1,0,0
10419,14710763,Brooklyn,Entire rental unit,Entire home/apt,40.69693,-73.9455,4,1.0,1.0,2.0,122,1,1,0,1,1,1,1,0,0
10420,14712466,Brooklyn,Shared room in floor,Shared room,40.654,-73.92422,5,1.0,1.0,1.0,99,1,0,0,0,1,1,1,0,0
10421,14714894,Brooklyn,Private room in rental unit,Private room,40.6934,-73.91091,3,1.5,1.0,2.0,84,0,0,0,1,1,1,1,0,0
10422,14716155,Brooklyn,Private room in townhouse,Private room,40.69654,-73.93648,2,1.0,1.0,1.0,36,0,1,0,1,1,1,1,0,0
10423,14716403,Brooklyn,Private room in loft,Private room,40.70379,-73.93483,2,1.0,1.0,2.0,80,0,0,0,0,1,1,1,0,0
10424,14716586,Brooklyn,Private room in townhouse,Private room,40.69796,-73.93487,2,1.0,1.0,1.0,39,0,1,0,1,1,1,1,0,0
10425,14723039,Brooklyn,Entire rental unit,Entire home/apt,40.69158,-73.95935,6,1.5,2.0,4.0,364,2,1,0,0,1,1,1,0,0
10427,14724495,Queens,Entire residential home,Entire home/apt,40.74225,-73.78675,8,1.0,2.0,4.0,117,1,1,0,1,1,1,1,0,0
10428,14726498,Manhattan,Private room in rental unit,Private room,40.86675,-73.91813,2,1.0,1.0,1.0,42,0,1,0,1,1,1,1,0,0
10430,14728630,Brooklyn,Entire townhouse,Entire home/apt,40.66949,-73.98329,3,1.0,1.0,2.0,110,1,1,0,1,1,1,1,0,0
10433,14732678,Brooklyn,Private room in townhouse,Private room,40.67019,-73.94053,4,3.0,1.0,1.0,41,0,1,0,1,1,1,1,0,0
10434,14733932,Brooklyn,Private room in townhouse,Private room,40.69566,-73.93546,2,1.0,1.0,1.0,35,0,1,0,1,1,1,1,0,0
10435,14734401,Manhattan,Private room in rental unit,Private room,40.76218,-73.95117,2,1.0,1.0,1.0,90,0,0,0,1,1,1,1,1,0
10436,14737992,Manhattan,Private room in rental unit,Private room,40.82644,-73.95193,1,1.0,1.0,1.0,40,0,1,0,1,1,1,1,1,0
10437,14738709,Manhattan,Entire rental unit,Entire home/apt,40.76032,-73.99958,5,2.0,2.0,3.0,409,3,1,0,1,1,1,1,1,0
10438,14741623,Brooklyn,Private room in townhouse,Private room,40.68199,-73.95167,2,1.0,1.0,1.0,40,0,0,0,1,0,1,1,0,0
10439,14743469,Brooklyn,Floor,Entire home/apt,40.60631,-73.99047,4,1.0,2.0,2.0,50,0,1,0,1,1,0,1,0,0
10440,14744735,Brooklyn,Private room in loft,Private room,40.7287,-73.94197,1,1.0,1.0,1.0,45,0,0,0,1,1,1,1,0,0
10441,14744912,Brooklyn,Private room in rental unit,Private room,40.70285,-73.92007,3,1.0,1.0,2.0,50,0,1,0,1,1,1,1,0,0
10442,14746280,Brooklyn,Entire loft,Entire home/apt,40.69943,-73.95112,2,1.0,1.0,1.0,230,2,1,0,1,1,1,1,1,0
10443,14756273,Queens,Private room in rental unit,Private room,40.77402,-73.91757,2,1.0,1.0,1.0,50,0,1,0,0,1,1,1,0,0
10444,14759888,Manhattan,Private room in residential home,Private room,40.73124,-73.98747,2,1.0,2.0,2.0,95,1,1,0,1,1,1,1,1,0
10445,14760211,Manhattan,Entire rental unit,Entire home/apt,40.78355,-73.95542,5,1.0,3.0,3.0,175,1,1,0,1,1,1,1,0,0
10446,14760402,Queens,Entire rental unit,Entire home/apt,40.74577,-73.91834,5,1.0,2.0,2.0,219,2,1,0,1,1,1,1,0,0
10447,14761949,Manhattan,Private room in rental unit,Private room,40.8238,-73.95513,2,0.0,1.0,1.0,89,0,1,0,1,1,1,1,1,0
10450,14763255,Brooklyn,Private room in rental unit,Private room,40.68828,-73.94972,2,1.0,1.0,1.0,52,0,1,0,1,1,1,1,0,0
10451,14768563,Brooklyn,Entire rental unit,Entire home/apt,40.65966,-73.96227,4,1.0,1.0,2.0,100,1,1,0,1,1,1,1,1,0
10452,14769619,Brooklyn,Private room in residential home,Private room,40.67519,-73.89063,2,1.0,1.0,1.0,33,0,1,0,1,1,1,1,0,0
10453,14769706,Brooklyn,Entire condominium (condo),Entire home/apt,40.67831,-73.93989,5,1.0,2.0,2.0,114,1,1,0,1,1,1,1,0,1
10454,14769785,Brooklyn,Private room in rental unit,Private room,40.67148,-73.92505,2,1.0,1.0,1.0,106,1,0,0,1,0,1,1,0,0
10455,14770256,Brooklyn,Private room in floor,Private room,40.61688,-73.96008,2,1.0,1.0,1.0,40,0,0,0,1,1,0,1,0,0
10456,14771249,Brooklyn,Entire rental unit,Entire home/apt,40.65284,-73.94931,4,1.0,1.0,1.0,80,0,0,0,1,1,1,1,1,0
10457,14772328,Brooklyn,Entire rental unit,Entire home/apt,40.7146,-73.94467,1,1.0,1.0,1.0,60,0,0,0,1,1,1,1,0,0
10458,14772701,Brooklyn,Entire condominium (condo),Entire home/apt,40.72059,-73.94268,3,1.0,1.0,2.0,89,0,0,0,1,1,1,1,1,0
10459,14774459,Manhattan,Entire rental unit,Entire home/apt,40.79624,-73.94809,5,1.0,2.0,3.0,99,1,0,0,1,1,1,1,1,0
10460,14778622,Queens,Private room in rental unit,Private room,40.70108,-73.75184,2,1.0,1.0,1.0,400,2,1,0,1,1,1,1,1,0
10461,14781268,Brooklyn,Private room in rental unit,Private room,40.69929,-73.92887,2,1.0,1.0,1.0,63,0,1,0,1,1,1,1,0,0
